id,symbol,name,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply
realio-network,rio,Realio,1.611321012100285,0.0,,88668404.0,4860736.0,1.83,1.6,-0.12234388545989901,-7.05695,0.0,0.0,0.0,55000000.0,55000000.0
reental,rnt,Reental,0.259240565128664,0.0,,51851372.0,7161.73,0.267517,0.25840199999999997,-0.007191517519102001,-2.69919,0.0,0.0,0.0,200000000.0,200000000.0
backed-coinbase-global,bcoin,Backed Coinbase Global,236.43,0.0,,4409420.0,0.0,236.43,225.86,10.57,4.67989,0.0,0.0,0.0,18650.0,
secured-on-blockchain,sob,Secured On Blockchain (OLD),0.005506428592202001,0.0,,5506.43,115.08,,,,,,,0.0,1000000.0,1000000.0
secured-on-blockchain-2,sob,Secured On Blockchain,1.983041833004716,0.0,,1987507.0,3442.32,2.15,1.98,-0.13903070617024502,-6.55165,0.0,0.0,0.0,1000000.0,1000000.0
aktionariat-technologies-of-understanding-ag-tokenized-shares,vids,Aktionariat Technologies of Understanding AG Tokenized Shares,57.22975024561118,0.0,,609502563.0,44622.0,,,,,,,0.0,10650100.0,
aktionariat-servicehunter-ag-tokenized-shares,dqts,Aktionariat ServiceHunter AG Tokenized Shares,8.913623591201077,0.0,,94930983.0,1783.37,,,,,,,0.0,10650100.0,
aktionariat-realunit-schweiz-ag-tokenized-shares,realu,Aktionariat RealUnit Schweiz AG Tokenized Shares,1.108930823633541,0.0,,11810224.0,23288.0,,,,,,,0.0,10650100.0,
aktionariat-pension-dynamics-ag-tokenized-shares,pds,Aktionariat Pension Dynamics AG Tokenized Shares,1.832314009637416,0.0,,641310.0,14718.76,,,,,,,0.0,350000.0,
aktionariat-parknsleep-ag-tokenized-shares,pns,Aktionariat Parknsleep AG Tokenized Shares,2.81487618591331,0.0,,900873.0,591.24,,,,,,,0.0,320040.0,
the-emerald-company,emrld,The Emerald Company,0.008637000655920001,0.0,,8637308.0,265934.0,0.01040554,0.0084815,-0.00033507636631100005,-3.73466,0.0,0.0,0.0,1000000000.0,1000000000.0
aktionariat-outlawz-food-ag-tokenized-shares,vegs,Aktionariat Outlawz Food AG Tokenized Shares,0.5622848990985301,0.0,,855798.0,1686.81,,,,,,,0.0,1522000.0,
aktionariat-boss-info-ag-tokenized-shares,boss,Aktionariat Boss Info AG Tokenized Shares,11.541024085065262,0.0,,122913061.0,323.15,,,,,,,0.0,10650100.0,
aktionariat-ayurveda-ag-tokenized-shares,veda,Aktionariat AyurVeda AG Tokenized Shares,45.278746288935594,0.0,,559238.0,181.09,,,,,,,0.0,12351.0,
uranium3o8,u,Uranium3o8,22.4258457139938,0.0,,446274330.0,2880.62,90.9,22.41,-68.29742281564586,-75.28104,0.0,0.0,0.0,19900000.0,20000000.0
wrapped-staked-usdt,wstusdt,Wrapped Staked Tether,1.015710547205299,0.0,,22048.0,2930303.0,1.041,0.9927769999999999,-0.010054393570773,-0.98018,0.0,0.0,0.0,21694.135,
aktionariat-alan-frei-company-tokenized-shares,afs,Aktionariat Alan Frei Company Tokenized Shares,1.6286300436351029,0.0,,17345073.0,359.93,,,,,,,0.0,10650100.0,
mbd-financials,mbd,MBD Financials,0.000287772034304,0.0,,11510881.0,388875.0,0.00030597,5.1595000000000006e-08,-1.1593085348047002e-05,-3.87256,-4127054.17124064,-100.0,0.0,40000000000.0,40000000000.0
metazero,mzero,MetaZero,0.11521491396546801,0.0,,,150463.0,0.13325399999999998,0.11487699999999999,-0.014771917889734,-11.36416,0.0,0.0,0.0,,
miidas,miidas,Miidas,0.00040503919470500006,0.0,,405039.0,3906.65,0.0004634,0.00040363,-5.7759404964174005e-05,-12.48046,0.0,0.0,0.0,1000000000.0,1000000000.0
numa,numa,Numa,0.366376403025369,0.0,,,72011.0,0.41209599999999996,0.360356,-0.016141957505874,-4.21992,0.0,0.0,0.0,3077329.0,
openeden-tbill,tbill,OpenEden TBILL,1.05177737,0.0,,,0.0,1.052,1.052,0.00015732,0.014960000000000001,0.0,0.0,0.0,,
crypto-real-estate,cre,Crypto Real Estate,0.041506106836729006,0.0,,4149379.0,27277.0,0.04418682,0.03946746,-0.002033363054905,-4.67016,0.0,0.0,0.0,100000000.0,100000000.0
ousg,ousg,OUSG,105.950027,0.0,,,0.0,105.95,105.94,0.013966999999999999,0.01318,0.0,0.0,0.0,,
backed-niu-technologies,bniu,Backed NIU Technologies,2.06,0.0,,329798.0,0.0,2.06,2.06,0.0,0.0,0.0,0.0,0.0,160096.0,
backed-ibta-treasury-bond-1-3yr,bibta,Backed IBTA $ Treasury Bond 1-3yr,5.397,0.0,,4236645.0,0.0,5.4,5.4,0.002,0.037070000000000006,0.0,0.0,0.0,785000.0,
backed-ib01-treasury-bond-0-1yr,bib01,Backed IB01 $ Treasury Bond 0-1yr,109.96,0.0,,52406936.0,0.0,109.96,109.92,0.04,0.036390000000000006,0.0,0.0,0.0,476600.0,
backed-high-high-yield-corp-bond,bhigh,Backed HIGH € High Yield Corp Bond,6.021503995067185,0.0,,,0.0,6.02,6.0,0.00607153,0.10091000000000001,0.0,0.0,0.0,,
backed-govies-0-6-months-euro,bc3m,Backed GOVIES 0-6 months EURO,128.49086658274032,0.0,,9701060.0,0.0,128.58,128.22,-0.051841765874911,-0.04032,0.0,0.0,0.0,75500.0,
backed-cspx-core-s-p-500,bcspx,Backed CSPX Core S&P 500,535.01001,0.0,,4066076.0,0.0,535.01,527.83,7.18,1.36029,0.0,0.0,0.0,7600.0,
dinari-dis-dshares,dis.d,Dinari DIS,,,,,,,,,,,,,,
adapt3r-digital-treasury-bill-fund,tfbill,Adapt3r Digital Treasury Bill Fund,,,,,,,,,,,,,8500000.0,8500000.0
superstate-short-duration-us-government-securities-fund-ustb,ustb,Superstate Short Duration U.S. Government Securities Fund (USTB),,,,,,,,,,,,,1000000.0,
assetlink,aset,AssetLink,,,,,,,,,,,,,100000000.0,9999999998.0
dinari-amzn-dshares,amzn.d,Dinari AMZN,,,,,,,,,,,,,,
dinari-tsla-dshares,tsla.d,Dinari TSLA,,,,,,,,,,,,,,
dinari-aapl-dshares,aapl.d,Dinari AAPL,,,,,,,,,,,,,,
estatex,esx,EstateX,,,,,,,,,,,,,6300000000.0,6300000000.0
dinari-googl-dshares,googl.d,Dinari GOOGL,,,,,,,,,,,,,,
dinari-usfr-dshares,usfr.d,Dinari USFR,,,,,,,,,,,,,,
dinari-meta-dshare,meta.d,Dinari META,,,,,,,,,,,,,,
dinari-spy-dshares,spy.d,Dinari SPY,,,,,,,,,,,,,,
dinari-msft-dshares,msft.d,Dinari MSFT,,,,,,,,,,,,,,
dinari-nflx-dshares,nflx.d,Dinari NFLX,,,,,,,,,,,,,,
dinari-pfe-dshares,pfe.d,Dinari PFE,,,,,,,,,,,,,,
dinari-nvda-dshares,nvda.d,Dinari NVDA,,,,,,,,,,,,,,
dinari-pypl-dshares,pypl.d,Dinari PYPL,,,,,,,,,,,,,,
