0,1,2,3,4,5,6,7,8,9,date
1,BTC Bitcoin,BTC,"$1,080,918,189.52",$94.69,11.415.175  BTC,"1,13  %","-2,54  %","26,85  %",,2013_07_14
2,LTC Litecoin,LTC,"$56,527,626.50",$2.9080,19.438.854  LTC,"-0,83  %","1,11  %","11,13  %",,2013_07_14
3,NMC Namecoin,NMC,"$3,241,516.48",$0.5397,6.005.693  NMC,"2,86  %","-1,36  %","24,06  %",,2013_07_14
4,PPC Peercoin,PPC,"$3,141,319.74",$0.16,19.629.768  PPC,"1,43  %","8,77  %","22,03  %",,2013_07_14
5,NVC Novacoin,NVC,"$1,230,893.18",$3.9780,309.426  NVC,"1,21  %","-3,64  %","41,53  %",,2013_07_14
6,FTC Feathercoin,FTC,"$825,730.01",$0.08238,10.023.250  FTC,"-0,30  %","-4,75  %","10,37  %",,2013_07_14
7,TRC Terracoin,TRC,"$497,606.33",$0.1562,3.184.870  TRC,"2,06  %","-3,91  %","-8,87  %",,2013_07_14
8,DVC Devcoin,DVC,"$341,246.54",$0.00007007,4.869.969.920  DVC,"1,23  %","-5,68  %","23,14  %",,2013_07_14
9,DGC Digitalcoin,DGC,"$268,640.90",$0.05628,4.773.045  DGC,"0,14  %","-4,72  %","167,06  %",,2013_07_14
10,FRC Freicoin,FRC,"$257,105.00",$0.01136,22.626.586  FRC,"3,81  %","-10,03  %","9,22  %",,2013_07_14
11,WDC WorldCoin,WDC,"$114,748.74",$0.01032,11.116.584  WDC,"1,23  %","-5,35  %","79,92  %",,2013_07_14
12,XPM Primecoin,XPM,"$112,816.35",$0.1562,722.068  XPM,"1,23  %","-54,05  %",--,,2013_07_14
13,YAC Yacoin,YAC,"$98,606.29",$0.02263,4.357.090  YAC,"1,23  %","-0,30  %","-9,47  %",,2013_07_14
14,BQC BBQCoin,BQC,"$92,091.19",$0.00445,20.692.356  BQC,"0,89  %","12,17  %","37,79  %",,2013_07_14
15,PXC Phoenixcoin,PXC,"$70,514.40",$0.02193,3.216.050  PXC,"-15,55  %","-25,62  %","84,88  %",,2013_07_14
16,MEC Megacoin,MEC,"$59,963.61",$0.004929,12.166.250  MEC,"0,12  %","-8,56  %","53,50  %",,2013_07_14
17,IXC Ixcoin,IXC,"$51,164.72",$0.003614,14.155.922  IXC,"1,13  %","-11,80  %","14,97  %",,2013_07_14
18,CNC CHNCoin,CNC,"$49,271.49",$0.009374,5.255.938  CNC,"1,23  %","23,62  %","-27,43  %",,2013_07_14
19,MNC Mincoin,MNC,"$26,893.62",$0.02274,1.182.798  MNC,"1,23  %","0,44  %","-26,00  %",,2013_07_14
20,LKY Luckycoin,LKY,"$21,326.13",$0.003882,5.493.104  LKY,"3,61  %","-3,72  %","45,39  %",,2013_07_14
21,FST Fastcoin,FST,"$20,242.07",$0.001888,10.720.608 FST,"-1,22%","21,34%","52,21%",,2013_07_14
22,BTE Bytecoin,BTE,"$17,723.99",$0.01926,920.100 BTE,"1,07%","6,74%","121,17%",,2013_07_14
23,ARG Argentum,ARG,"$17,298.31",$0.04735,365.362 ARG,"1,23%","15,13%","271,85%",,2013_07_14
24,IFC Infinitecoin,IFC,"$16,894.15",$0.00000032,52.336.263.168 IFC,"-4,25%","-7,27%",--,,2013_07_14
25,BTB BitBar,BTB,"$16,175.30",$3.7877,4271 BTB,"1,13%","-2,53%","1,45%",,2013_07_14
26,BTG Bitgem,BTG,"$12,158.87",$0.6865,17.711 BTG,"1,94%","-25,45%","-51,82%",,2013_07_14
27,CRC CraftCoin,CRC,"$10,254.50",$0.1101,93.112 CRC,"1,23%","-21,85%","-14,59%",,2013_07_14
28,GLC GoldCoin,GLC,"$8,492.58",$0.0004171,20.360.450 GLC,"-0,31%","-14,51%","-4,51%",,2013_07_14
29,MEM Memecoin,MEM,"$7,429.67",$0.0004156,17.876.750 MEM,"2,30%","5,36%","113,89%",,2013_07_14
30,KGC Krugercoin,KGC,"$7,146.42",$0.001516,4.714.354 KGC,"21,73%","65,47%","23,49%",,2013_07_14
31,FRK Franko,FRK,"$7,032.11",$0.1894,37.132 FRK,"-12,24%","30,55%","389,99%",,2013_07_14
32,ALF AlphaCoin,ALF,"$5,967.91",$0.0008243,7.240.300 ALF,"-12,89%","-16,86%","7,13%",,2013_07_14
33,NBL Nibble,NBL,"$5,395.37",$0.007026,767.904 NBL,"1,23%","14,68%","292,74%",,2013_07_14
34,CAP Bottlecaps,CAP,"$4,987.13",$0.01648,302.668 CAP,"1,23%","-4,20%","10,28%",,2013_07_14
35,SBC StableCoin,SBC,"$4,248.75",$0.001356,3.133.830 SBC,"0,95%","-18,07%","61,48%",,2013_07_14
36,HYC Hypercoin,HYC,"$3,390.92",$0.006628,511.575 HYC,"3,54%","44,69%","202,72%",,2013_07_14
37,ELC Elacoin,ELC,"$3,107.02",$0.1394,22.293 ELC,"1,23%","4,69%","107,25%",,2013_07_14
38,NRB Noirbits,NRB,"$2,136.92",$0.004498,475.100 NRB,"0,70%","-1,50%","49,27%",,2013_07_14
1,BTC Bitcoin,BTC,"$1,038,799,169.95",$90.76,11.445.900  BTC,"0,48  %","0,81  %","-3,89  %",,2013_07_21
2,LTC Litecoin,LTC,"$57,116,054.34",$2.9160,19.586.904  LTC,"0,88  %","0,85  %","0,98  %",,2013_07_21
3,NMC Namecoin,NMC,"$2,962,845.61",$0.4883,6.067.993  NMC,"0,06  %","-2,71  %","-8,25  %",,2013_07_21
4,PPC Peercoin,PPC,"$2,753,787.82",$0.1398,19.702.806  PPC,"0,48  %","-6,31  %","-10,69  %",,2013_07_21
5,NVC Novacoin,NVC,"$1,204,790.03",$3.8517,312.791  NVC,"0,64  %","1,91  %","-2,97  %",,2013_07_21
6,XPM Primecoin,XPM,"$1,168,854.58",$1.0437,1.119.905  XPM,"0,17  %","16,19  %","569,85  %",,2013_07_21
7,FTC Feathercoin,FTC,"$882,015.91",$0.08077,10.919.550  FTC,"0,48  %","0,82  %","-2,72  %",,2013_07_21
8,TRC Terracoin,TRC,"$487,870.61",$0.1497,3.257.910  TRC,"0,54  %","-1,59  %","-6,02  %",,2013_07_21
9,DVC Devcoin,DVC,"$254,344.99",$0.00005173,4.916.620.288  DVC,"2,34  %","3,96  %","-25,99  %",,2013_07_21
10,FRC Freicoin,FRC,"$244,976.19",$0.01078,22.717.088  FRC,"0,54  %","-0,18  %","-6,58  %",,2013_07_21
11,DGC Digitalcoin,DGC,"$170,031.29",$0.03181,5.345.141  DGC,"-1,53  %","-11,50  %","-43,56  %",,2013_07_21
12,MEC Megacoin,MEC,"$161,426.39",$0.01232,13.101.500  MEC,"12,28  %","40,52  %","151,36  %",,2013_07_21
13,WDC WorldCoin,WDC,"$145,792.15",$0.0118,12.356.888  WDC,"1,52  %","12,70  %","18,42  %",,2013_07_21
14,PXC Phoenixcoin,PXC,"$126,115.75",$0.03694,3.414.150  PXC,"-4,76  %","-0,86  %","49,74  %",,2013_07_21
15,YAC Yacoin,YAC,"$81,633.98",$0.0177,4.612.695  YAC,"-1,93  %","5,66  %","-19,87  %",,2013_07_21
16,BQC BBQCoin,BQC,"$77,919.22",$0.003694,21.094.464  BQC,"0,54  %","0,08  %","-13,24  %",,2013_07_21
17,CNC CHNCoin,CNC,"$62,014.01",$0.0118,5.256.114  CNC,"0,54  %","0,81  %","26,21  %",,2013_07_21
18,FST Fastcoin,FST,"$55,913.27",$0.004533,12.333.824  FST,"-0,71  %","-6,79  %","142,37  %",,2013_07_21
19,IXC Ixcoin,IXC,"$55,740.50",$0.003904,14.276.402  IXC,"0,59  %","13,68  %","8,26  %",,2013_07_21
20,MNC Mincoin,MNC,"$46,706.59",$0.0389,1.200.783  MNC,"0,48  %","18,60  %","71,54  %",,2013_07_21
21,FRK Franko,FRK,"$44,951.35",$1.0709,41.974 FRK,"0,73%","-12,07%","456,66%",,2013_07_21
22,ARG Argentum,ARG,"$31,939.47",$0.08395,380.460 ARG,"3,43%","0,91%","76,73%",,2013_07_21
23,CAP Bottlecaps,CAP,"$24,485.37",$0.06073,403.154 CAP,"-7,48%","-14,57%","268,11%",,2013_07_21
24,LKY Luckycoin,LKY,"$24,405.64",$0.004356,5.602.312 LKY,"0,59%","2,84%","13,22%",,2013_07_21
25,IFC Infinitecoin,IFC,"$23,300.62",$0.0000004,57.553.715.200 IFC,"0,28%","-0,20%","7,85%",,2013_07_21
26,BTB BitBar,BTB,"$22,134.27",$4.9826,4442 BTB,"0,59%","0,81%","28,74%",,2013_07_21
27,ANC Anoncoin,ANC,"$20,857.49",$0.07034,296.537 ANC,"-0,06%","152,40%","150,24%",,2013_07_21
28,GLC GoldCoin,GLC,"$15,996.61",$0.000726,22.032.950 GLC,"0,68%","17,12%","82,26%",,2013_07_21
29,BTG Bitgem,BTG,"$14,601.53",$0.8168,17.876 BTG,"-1,06%","1,38%","14,53%",,2013_07_21
30,BTE Bytecoin,BTE,"$13,860.23",$0.01504,921.400 BTE,"-0,09%","4,91%","-15,39%",,2013_07_21
31,CRC CraftCoin,CRC,"$13,490.37",$0.1448,93.192 CRC,"0,59%","3,87%","31,85%",,2013_07_21
32,KGC Krugercoin,KGC,"$10,302.33",$0.001724,5.974.482 KGC,"-4,59%","14,00%","-16,66%",,2013_07_21
33,NRB Noirbits,NRB,"$8,880.02",$0.01602,554.480 NRB,"-5,65%","5,34%","255,46%",,2013_07_21
34,ALF AlphaCoin,ALF,"$8,875.94",$0.001075,8.253.050 ALF,"1,01%","11,11%","25,05%",,2013_07_21
35,SBC StableCoin,SBC,"$6,945.30",$0.001997,3.478.455 SBC,"43,08%","57,47%","46,82%",,2013_07_21
36,MEM Memecoin,MEM,"$6,858.28",$0.0003455,19.850.350 MEM,"0,25%","0,28%","-33,12%",,2013_07_21
37,NAN NanoToken,NAN,"$6,260.25",$0.009121,686.347 NAN,"0,51%","-3,46%",--,,2013_07_21
38,NBL Nibble,NBL,"$5,357.45",$0.006903,776.104 NBL,"0,65%","-2,31%","2,05%",,2013_07_21
39,EZC EZCoin,EZC,"$2,686.54",$0.0005398,4.976.660 EZC,"9,91%","1399,81%",--,,2013_07_21
40,HYC Hypercoin,HYC,"$2,414.44",$0.004719,511.600 HYC,"-16,39%","-25,69%","-28,04%",,2013_07_21
41,ELC Elacoin,ELC,"$2,395.77",$0.1067,22.456 ELC,"0,59%","-15,67%","-28,70%",,2013_07_21
42,DBL Doubloons,DBL,"$1,044.11",$0.002575,405.503 DBL,"0,35%","-9,79%","4,42%",,2013_07_21
1,BTC Bitcoin,BTC,"$1,144,602,625.00",$99.76,11.474.025  BTC,"-0,07  %","5,77  %","10,61  %",,2013_07_28
2,LTC Litecoin,LTC,"$59,091,798.36",$2.9778,19.844.180  LTC,"-0,30  %","3,33  %","3,06  %",,2013_07_28
3,NMC Namecoin,NMC,"$3,755,531.57",$0.6135,6.121.493  NMC,"-0,04  %","1,83  %","25,53  %",,2013_07_28
4,PPC Peercoin,PPC,"$2,721,121.82",$0.1377,19.766.366  PPC,"-0,04  %","3,17  %","-1,64  %",,2013_07_28
5,NVC Novacoin,NVC,"$1,976,019.96",$6.0103,328.773  NVC,"0,70  %","-0,96  %","58,21  %",,2013_07_28
6,FTC Feathercoin,FTC,"$1,013,854.40",$0.08781,11.546.500  FTC,"-0,04  %","1,98  %","9,25  %",,2013_07_28
7,XPM Primecoin,XPM,"$904,374.13",$0.7232,1.250.464  XPM,"-0,04  %","-1,23  %","-27,15  %",,2013_07_28
8,TRC Terracoin,TRC,"$461,230.76",$0.1317,3.500.890  TRC,"-0,04  %","-1,62  %","-11,41  %",,2013_07_28
9,DVC Devcoin,DVC,"$267,289.84",$0.00005387,4.961.920.000  DVC,"-0,04  %","-3,67  %","5,61  %",,2013_07_28
10,FRC Freicoin,FRC,"$208,635.46",$0.009078,22.983.058  FRC,"-0,04  %","-1,72  %","-15,28  %",,2013_07_28
11,DGC Digitalcoin,DGC,"$177,525.47",$0.02993,5.931.793  DGC,"-0,59  %","8,46  %","-12,44  %",,2013_07_28
12,MEC Megacoin,MEC,"$153,304.26",$0.009974,15.371.000  MEC,"1,21  %","-23,18  %","-27,68  %",,2013_07_28
13,WDC WorldCoin,WDC,"$108,739.11",$0.007982,13.622.232  WDC,"-2,98  %","-8,95  %","-30,97  %",,2013_07_28
14,PXC Phoenixcoin,PXC,"$94,141.07",$0.02715,3.467.750  PXC,"-4,21  %","2,24  %","-30,85  %",,2013_07_28
15,YAC Yacoin,YAC,"$84,116.05",$0.01726,4.874.093  YAC,"-3,93  %","15,06  %","-1,43  %",,2013_07_28
16,FST Fastcoin,FST,"$72,306.80",$0.005187,13.939.168  FST,"-3,40  %","-30,28  %","13,36  %",,2013_07_28
17,BQC BBQCoin,BQC,"$64,771.61",$0.003013,21.500.016  BQC,"-0,04  %","-2,91  %","-18,33  %",,2013_07_28
18,IXC Ixcoin,IXC,"$56,788.95",$0.003946,14.390.258  IXC,"-0,07  %","8,23  %","0,82  %",,2013_07_28
19,IFC Infinitecoin,IFC,"$48,077.50",$0.00000077,62.102.962.176  IFC,"5,44  %","52,45  %","90,21  %",,2013_07_28
20,FRK Franko,FRK,"$46,265.64",$1.0474,44.170  FRK,"16,62  %","-10,28  %","-5,63  %",,2013_07_28
21,CNC CHNCoin,CNC,"$30,935.40",$0.005886,5.256.114 CNC,"-0,04%","6,51%","-49,66%",,2013_07_28
22,MNC Mincoin,MNC,"$30,404.50",$0.02494,1.219.057 MNC,"-0,04%","-9,93%","-31,63%",,2013_07_28
23,ANC Anoncoin,ANC,"$28,931.47",$0.08866,326.308 ANC,"-0,04%","-6,89%","37,18%",,2013_07_28
24,LKY Luckycoin,LKY,"$26,812.18",$0.004669,5.743.112 LKY,"-2,56%","5,17%","7,32%",,2013_07_28
25,GLC GoldCoin,GLC,"$22,716.15",$0.000961,23.637.450 GLC,"0,26%","8,93%","48,66%",,2013_07_28
26,CAP Bottlecaps,CAP,"$22,549.89",$0.0451,500.001 CAP,"-0,04%","1,10%","-33,07%",,2013_07_28
27,BTB BitBar,BTB,"$18,330.50",$3.9902,4594 BTB,"-0,04%","5,78%","-19,40%",,2013_07_28
28,BTE Bytecoin,BTE,"$17,952.63",$0.01945,922.900 BTE,"-0,04%","-28,01%",--,,2013_07_28
29,ARG Argentum,ARG,"$17,087.61",$0.04389,389.296 ARG,"-0,04%","-6,92%","-46,83%",,2013_07_28
30,KGC Krugercoin,KGC,"$15,659.00",$0.002176,7.197.298 KGC,"-0,04%","-5,92%","19,10%",,2013_07_28
31,BTG Bitgem,BTG,"$14,591.25",$0.7981,18.283 BTG,"-0,04%","-13,51%","-5,54%",,2013_07_28
32,ALF AlphaCoin,ALF,"$14,508.08",$0.001631,8.895.150 ALF,"-0,04%","-5,65%","43,20%",,2013_07_28
33,CRC CraftCoin,CRC,"$11,550.82",$0.1239,93.212 CRC,"-0,04%","-11,26%","-12,01%",,2013_07_28
34,XNC XenCoin,XNC,"$8,026.24",$0.00005355,149.882.048 XNC,"-0,02%","-3,47%",--,,2013_07_28
35,SBC StableCoin,SBC,"$5,646.95",$0.001497,3.771.330 SBC,"-0,20%","0,83%","-10,71%",,2013_07_28
36,CSC CasinoCoin,CSC,"$5,638.86",$0.004191,1.345.550 CSC,"-15,81%","-25,77%",--,,2013_07_28
37,MEM Memecoin,MEM,"$5,185.58",$0.0002403,21.583.550 MEM,"-0,94%","-0,88%","-30,29%",,2013_07_28
38,NRB Noirbits,NRB,"$5,092.69",$0.008761,581.320 NRB,"-3,28%","24,08%","-44,19%",,2013_07_28
39,ELC Elacoin,ELC,"$4,486.88",$0.1995,22.490 ELC,"-0,04%","62,72%","92,91%",,2013_07_28
40,NBL Nibble,NBL,"$2,853.78",$0.003043,937.954 NBL,"0,02%","-49,46%","-54,76%",,2013_07_28
41,HYC Hypercoin,HYC,"$2,815.57",$0.005498,512.150 HYC,"-0,04%","-21,49%","11,51%",,2013_07_28
42,DBL Doubloons,DBL,"$2,718.40",$0.00614,442.745 DBL,"27,64%","7,19%","110,53%",,2013_07_28
43,NAN NanoToken,NAN,"$2,688.21",$0.003881,692.747 NAN,"-0,04%","-46,53%","-56,77%",,2013_07_28
44,SPT Spots,SPT,"$2,089.43",$0.009975,209.475 SPT,"34,75%","162,16%",--,,2013_07_28
45,JKC Junkcoin,JKC,"$1,764.04",$0.0002671,6.605.450 JKC,"-22,46%","0,89%",--,,2013_07_28
46,EZC EZCoin,EZC,"$1,445.40",$0.0002643,5.469.171 EZC,"-0,02%","8,56%","550,21%",,2013_07_28
47,LBW Lebowskis,LBW,$910.99,$0.004389,207.550 LBW,"-20,12%",--,--,,2013_07_28
1,BTC Bitcoin,BTC,"$1,209,792,869.08",$105.14,11.506.100  BTC,"-0,05  %","0,57  %","6,11  %",,2013_08_04
2,LTC Litecoin,LTC,"$60,288,260.68",$3.0092,20.034.580  LTC,"0,31  %","0,68  %","0,96  %",,2013_08_04
3,XRP XRP,XRP,"$45,983,543.33",$0.005882,7.817.889.792  XRP,"-0,05  %",--,--,,2013_08_04
4,NMC Namecoin,NMC,"$3,844,310.07",$0.6214,6.186.543  NMC,"0,00  %","-0,27  %","3,32  %",,2013_08_04
5,PPC Peercoin,PPC,"$3,194,186.00",$0.1609,19.855.732  PPC,"0,00  %","-2,16  %","17,64  %",,2013_08_04
6,FTC Feathercoin,FTC,"$2,066,053.89",$0.1661,12.436.600  FTC,"-4,87  %","-14,74  %","90,42  %",,2013_08_04
7,NVC Novacoin,NVC,"$1,855,987.14",$5.4570,340.114  NVC,"-0,38  %","-0,37  %","-8,16  %",,2013_08_04
8,XPM Primecoin,XPM,"$889,983.29",$0.6487,1.371.864  XPM,"-0,08  %","1,21  %","-9,84  %",,2013_08_04
9,TRC Terracoin,TRC,"$596,396.30",$0.1693,3.523.110  TRC,"-3,11  %","-3,88  %","29,23  %",,2013_08_04
10,DVC Devcoin,DVC,"$321,340.28",$0.00006414,5.010.169.856  DVC,"0,00  %","0,58  %","14,38  %",,2013_08_04
11,DGC Digitalcoin,DGC,"$227,201.16",$0.03529,6.438.044  DGC,"-0,15  %","2,47  %","19,89  %",,2013_08_04
12,FRC Freicoin,FRC,"$158,973.60",$0.006834,23.261.020  FRC,"-0,05  %","-8,18  %","-24,20  %",,2013_08_04
13,WDC WorldCoin,WDC,"$123,167.02",$0.008433,14.606.197  WDC,"-0,08  %","-0,38  %","0,24  %",,2013_08_04
14,MEC Megacoin,MEC,"$116,160.07",$0.007361,15.780.250  MEC,"2,97  %","-2,49  %","-17,98  %",,2013_08_04
15,YAC Yacoin,YAC,"$106,721.68",$0.02061,5.178.616  YAC,"0,35  %","15,28  %","22,82  %",,2013_08_04
16,MNC Mincoin,MNC,"$90,902.20",$0.0736,1.235.075  MNC,"-19,85  %","95,55  %","188,13  %",,2013_08_04
17,PXC Phoenixcoin,PXC,"$80,723.76",$0.02325,3.472.400  PXC,"-0,13  %","2,76  %","-13,09  %",,2013_08_04
18,FST Fastcoin,FST,"$63,341.24",$0.004075,15.542.464  FST,"-0,71  %","-7,71  %","-21,59  %",,2013_08_04
19,BQC BBQCoin,BQC,"$63,307.39",$0.002891,21.894.690  BQC,"-0,08  %","5,94  %","-10,70  %",,2013_08_04
20,CBX Bullion,CBX,"$61,609.39",$0.1122,549.336  CBX,"6,59  %",--,--,,2013_08_04
21,IXC Ixcoin,IXC,"$55,861.82",$0.003839,14.551.922 IXC,"-0,05%","-18,40%","-2,08%",,2013_08_04
22,IFC Infinitecoin,IFC,"$54,746.55",$0.00000081,67.991.240.704 IFC,"-3,37%","1,42%","7,25%",,2013_08_04
23,GLC GoldCoin,GLC,"$54,629.97",$0.002147,25.442.420 GLC,"1,75%","17,20%","71,12%",,2013_08_04
24,CNC CHNCoin,CNC,"$50,290.86",$0.009568,5.256.114 CNC,"-0,05%","-2,63%","63,68%",,2013_08_04
25,ANC Anoncoin,ANC,"$31,144.55",$0.09463,329.122 ANC,"-0,08%","12,00%","6,66%",,2013_08_04
26,LKY Luckycoin,LKY,"$29,749.91",$0.005099,5.833.928 LKY,"-0,08%","10,65%","6,47%",,2013_08_04
27,FRK Franko,FRK,"$27,876.58",$0.6203,44.937 FRK,"-0,08%","20,17%","-37,53%",,2013_08_04
28,CAP Bottlecaps,CAP,"$17,060.19",$0.02839,600.949 CAP,"-6,58%","5,23%","-35,63%",,2013_08_04
29,ARG Argentum,ARG,"$16,856.82",$0.04312,390.924 ARG,"0,69%","-5,35%","-2,48%",,2013_08_04
30,BTE Bytecoin,BTE,"$16,541.88",$0.01787,925.450 BTE,"-0,08%","-9,99%","-13,80%",,2013_08_04
31,BTB BitBar,BTB,"$16,074.56",$3.3646,4778 BTB,"-0,08%","3,82%","-15,10%",,2013_08_04
32,CSC CasinoCoin,CSC,"$14,231.13",$0.007259,1.960.450 CSC,"-17,17%","-26,14%","70,50%",,2013_08_04
33,BTG Bitgem,BTG,"$13,796.80",$0.7465,18.481 BTG,"-0,08%","40,01%","-8,82%",,2013_08_04
34,CRC CraftCoin,CRC,"$12,671.94",$0.1358,93.282 CRC,"-0,08%","1,52%","9,95%",,2013_08_04
35,KGC Krugercoin,KGC,"$11,865.00",$0.001416,8.377.554 KGC,"-0,08%","-11,90%","-39,28%",,2013_08_04
36,ALF AlphaCoin,ALF,"$11,007.47",$0.001189,9.256.400 ALF,"2,09%","-8,97%","-38,88%",,2013_08_04
37,EMD Emerald Crypto,EMD,"$7,547.09",$0.005504,1.371.135 EMD,"0,02%",--,--,,2013_08_04
38,GLC GlobalCoin,GLC,"$6,699.43",$0.0004816,13.912.000 GLC,"3,07%",--,--,,2013_08_04
39,MEM Memecoin,MEM,"$5,845.20",$0.0002456,23.801.050 MEM,"-0,15%","-0,34%","1,63%",,2013_08_04
40,SBC StableCoin,SBC,"$5,538.51",$0.001398,3.960.580 SBC,"-0,08%","2,18%","-6,04%",,2013_08_04
41,XNC XenCoin,XNC,"$4,593.15",$0.00002952,155.573.456 XNC,"-15,08%","-18,99%","-51,17%",,2013_08_04
42,NRB Noirbits,NRB,"$4,436.24",$0.007482,592.920 NRB,"-0,08%","0,42%","-15,32%",,2013_08_04
43,NBL Nibble,NBL,"$4,053.02",$0.004312,939.954 NBL,"-0,08%","-17,51%","33,75%",,2013_08_04
44,SPT Spots,SPT,"$2,739.77",$0.008837,310.023 SPT,"4,98%","9,55%","54,12%",,2013_08_04
45,ELC Elacoin,ELC,"$2,653.33",$0.1178,22.532 ELC,"-0,08%","0,58%","-40,57%",,2013_08_04
46,DBL Doubloons,DBL,"$2,585.58",$0.005126,504.358 DBL,"-0,15%","-16,89%","-36,27%",,2013_08_04
47,LBW Lebowskis,LBW,"$2,581.40",$0.006309,409.186 LBW,"0,76%","10,11%","-2,71%",,2013_08_04
48,HYC Hypercoin,HYC,"$2,491.61",$0.004865,512.150 HYC,"-0,08%","0,77%","-12,37%",,2013_08_04
49,JKC Junkcoin,JKC,"$1,862.38",$0.0002818,6.608.400 JKC,"-0,15%","3,26%","16,72%",,2013_08_04
50,EZC EZCoin,EZC,"$1,580.38",$0.000263,6.008.321 EZC,"-0,15%","-2,56%","-10,00%",,2013_08_04
1,BTC Bitcoin,BTC,"$1,211,789,250.00",$105.00,11.540.850  BTC,"0,11  %","1,85  %","-0,51  %",,2013_08_11
2,LTC Litecoin,LTC,"$54,533,789.26",$2.6943,20.240.430  LTC,"0,17  %","5,04  %","-9,95  %",,2013_08_11
3,XRP XRP,XRP,"$34,518,516.10",$0.004415,7.817.889.792  XRP,"0,12  %","2,23  %","-25,21  %",,2013_08_11
4,NMC Namecoin,NMC,"$4,222,475.34",$0.673,6.273.643  NMC,"-0,57  %","3,39  %","9,03  %",,2013_08_11
5,PPC Peercoin,PPC,"$3,159,445.71",$0.1585,19.927.126  PPC,"0,26  %","1,61  %","-0,81  %",,2013_08_11
6,FTC Feathercoin,FTC,"$2,001,729.80",$0.1523,13.147.650  FTC,"0,15  %","1,64  %","-6,72  %",,2013_08_11
7,NVC Novacoin,NVC,"$1,799,905.11",$5.1460,349.764  NVC,"0,36  %","0,45  %","-6,06  %",,2013_08_11
8,XPM Primecoin,XPM,"$1,351,773.92",$0.8832,1.530.619  XPM,"0,08  %","3,92  %","34,40  %",,2013_08_11
9,TRC Terracoin,TRC,"$655,735.09",$0.1806,3.630.870  TRC,"-1,02  %","-0,07  %","5,10  %",,2013_08_11
10,DVC Devcoin,DVC,"$286,724.52",$0.0000567,5.056.869.888  DVC,"-0,77  %","1,46  %","-11,08  %",,2013_08_11
11,DGC Digitalcoin,DGC,"$212,140.22",$0.03099,6.846.204  DGC,"0,19  %","-0,08  %","-14,02  %",,2013_08_11
12,FRC Freicoin,FRC,"$158,239.86",$0.006616,23.917.574  FRC,"0,15  %","-8,31  %","-3,51  %",,2013_08_11
13,WDC WorldCoin,WDC,"$126,981.80",$0.00819,15.504.492  WDC,"1,30  %","2,38  %","-3,83  %",,2013_08_11
14,YAC Yacoin,YAC,"$115,933.19",$0.021,5.520.628  YAC,"-5,49  %","-5,10  %","5,83  %",,2013_08_11
15,MEC Megacoin,MEC,"$93,483.78",$0.005924,15.780.250  MEC,"-3,40  %","10,79  %","-19,31  %",,2013_08_11
16,MNC Mincoin,MNC,"$87,569.47",$0.07005,1.250.067  MNC,"4,40  %","-19,41  %","-25,73  %",,2013_08_11
17,IXC Ixcoin,IXC,"$85,022.82",$0.005784,14.698.514  IXC,"1,39  %","3,85  %","49,01  %",,2013_08_11
18,IFC Infinitecoin,IFC,"$80,005.13",$0.00000113,70.605.864.960  IFC,"1,18  %","56,13  %","37,98  %",,2013_08_11
19,CBX Bullion,CBX,"$75,822.86",$0.1281,591.904  CBX,"5,32  %","-2,37  %","24,80  %",,2013_08_11
20,PXC Phoenixcoin,PXC,"$71,820.28",$0.02068,3.472.800  PXC,"12,74  %","20,27  %","-11,97  %",,2013_08_11
21,GLC GoldCoin,GLC,"$52,649.41",$0.002052,25.661.660 GLC,"-9,18%","-5,56%","1,70%",,2013_08_11
22,BQC BBQCoin,BQC,"$47,034.52",$0.00211,22.285.962 BQC,"-22,58%","-18,07%","-27,97%",,2013_08_11
23,FST Fastcoin,FST,"$40,527.43",$0.002364,17.146.848 FST,"1,49%","3,23%","-42,99%",,2013_08_11
24,CNC CHNCoin,CNC,"$37,533.05",$0.00714,5.256.730 CNC,"0,15%","1,87%","-25,76%",,2013_08_11
25,LKY Luckycoin,LKY,"$26,555.26",$0.004479,5.928.440 LKY,"0,46%","8,53%","-10,85%",,2013_08_11
26,FRK Franko,FRK,"$21,158.80",$0.4672,45.285 FRK,"0,18%","12,94%","-20,78%",,2013_08_11
27,BTE Bytecoin,BTE,"$17,335.75",$0.01869,927.750 BTE,"0,18%","9,19%","4,66%",,2013_08_11
28,BTB BitBar,BTB,"$15,576.62",$3.1500,4945 BTB,"0,15%","1,90%","-6,72%",,2013_08_11
29,ANC Anoncoin,ANC,"$14,967.80",$0.0399,375.133 ANC,"0,18%","0,78%","-57,99%",,2013_08_11
30,CAP Bottlecaps,CAP,"$14,702.60",$0.021,700.194 CAP,"4,88%","11,24%","-25,97%",,2013_08_11
31,ARG Argentum,ARG,"$12,398.36",$0.03161,392.278 ARG,"0,18%","-12,65%","-27,12%",,2013_08_11
32,CRC CraftCoin,CRC,"$11,206.26",$0.1201,93.302 CRC,"-4,50%","16,62%","-11,92%",,2013_08_11
33,BTG Bitgem,BTG,"$10,887.59",$0.5891,18.481 BTG,"0,18%","-8,36%","-19,01%",,2013_08_11
34,ALF AlphaCoin,ALF,"$10,672.25",$0.00105,10.164.050 ALF,"3,73%","21,94%","-6,84%",,2013_08_11
35,KGC Krugercoin,KGC,"$9,407.60",$0.001001,9.401.490 KGC,"0,18%","-5,96%","-28,18%",,2013_08_11
